,P1,P2,output_KNN_K5
245,932,1325,1
246,825,894,1
247,901,1307,1
248,1241,1282,0
249,915,1324,1
250,1226,1268,0
251,912,1340,1
252,860,885,1
253,851,887,1
254,835,897,1
255,934,1349,1
256,913,1341,1
257,935,1315,1
258,937,1318,1
259,848,891,1
260,1251,1292,0
261,827,887,1
262,859,890,1
263,854,882,1
264,853,898,1
265,1246,1295,0
266,840,897,1
267,906,1325,1
268,826,885,1
269,1244,1281,0
270,945,1325,1
271,912,1302,1
272,939,1330,1
273,915,1316,1
274,849,871,1
275,941,1302,1
276,848,898,1
277,944,1322,1
278,1253,1269,0
279,929,1314,1
280,828,888,1
281,1256,1267,0
282,923,1314,1
283,1225,1295,0
284,1239,1271,0
285,908,1350,1
286,864,880,1
287,1248,1270,0
288,1239,1293,0
289,1229,1275,0
290,834,866,1
291,1232,1269,0
292,825,882,1
293,934,1337,1
294,1231,1280,0
295,943,1337,1
296,859,894,1
297,827,888,1
298,1230,1297,0
299,941,1304,1
300,1236,1281,0
301,917,1350,1
302,942,1307,1
303,901,1319,1
304,921,1314,1
305,903,1336,1
306,1240,1281,0
307,922,1342,1
308,912,1307,1
309,916,1306,1
310,934,1323,1
311,1255,1279,0
312,856,880,1
313,902,1315,1
314,929,1310,1
315,919,1301,1
316,929,1341,1
317,944,1327,1
318,935,1335,1
319,1244,1286,0
320,1232,1296,0
321,848,886,1
322,935,1316,1
323,901,1349,1
324,938,1315,1
325,857,867,1
326,1232,1288,0
327,1261,1279,0
328,938,1312,1
329,913,1309,1
330,855,889,1
331,936,1324,1
332,1263,1274,0
333,904,1333,1
334,1232,1283,0
335,920,1324,1
336,1241,1276,0
337,919,1349,1
338,921,1331,1
339,929,1320,1
340,1247,1271,0
341,1252,1288,0
342,946,1313,1
343,944,1315,1
344,847,875,1
345,934,1322,1
346,858,875,1
347,834,871,1
348,1238,1281,0
349,904,1345,1
350,1254,1293,0
351,834,897,1
352,918,1344,1
353,1255,1278,0
354,855,899,1
355,922,1307,1
356,1254,1286,0
357,923,1339,1
358,939,1312,1
359,1237,1290,0
360,943,1348,1
361,850,866,1
362,1239,1267,0
363,1241,1278,0
364,914,1329,1
365,1258,1269,0
366,945,1338,1
367,924,1326,1
368,1257,1281,0
369,858,866,1
370,841,870,1
371,1247,1279,0
372,1235,1298,0
373,901,1339,1
374,828,893,1
375,858,880,1
376,855,892,1
377,911,1345,1
378,912,1331,1
379,1243,1266,0
380,935,1306,1
381,934,1316,1
382,940,1313,1
383,1263,1267,0
384,1251,1282,0
385,942,1318,1
386,1258,1282,0
387,912,1304,1
388,1225,1299,0
389,939,1304,1
390,945,1316,1
391,855,879,1
392,939,1315,1
393,910,1323,1
394,837,897,1
395,1248,1278,0
396,1247,1286,0
397,1245,1297,0
398,1235,1294,0
399,831,895,1
400,940,1342,1
401,903,1322,1
402,907,1331,1
403,907,1344,1
404,851,871,1
405,1243,1299,0
406,924,1335,1
407,909,1326,1
408,854,878,1
409,1233,1267,0
410,832,881,1
411,841,879,1
412,1239,1288,0
413,928,1309,1
414,1259,1285,0
415,906,1340,1
416,933,1327,1
417,1238,1297,0
418,1239,1295,0
419,932,1341,1
420,1252,1267,0
421,926,1313,1
422,846,898,1
423,835,875,1
424,1235,1278,0
425,909,1304,1
426,1261,1269,0
427,1260,1279,0
428,858,881,1
429,910,1337,1
430,918,1349,1
431,1263,1286,0
432,1240,1278,0
433,911,1317,1
434,833,883,1
435,921,1322,1
436,908,1314,1
437,1255,1288,0
438,856,874,1
439,1235,1297,0
440,1258,1276,0
441,913,1349,1
442,920,1313,1
443,1233,1287,0
444,861,899,1
445,1229,1297,0
446,905,1343,1
447,1235,1282,0
448,918,1332,1
449,1226,1294,0
450,841,893,1
451,907,1311,1
452,905,1324,1
453,905,1339,1
454,1233,1299,0
455,915,1328,1
456,864,883,1
457,1243,1288,0
458,904,1325,1
459,1228,1294,0
460,939,1349,1
461,849,882,1
462,848,885,1
463,912,1328,1
464,910,1316,1
465,1248,1285,0
466,915,1334,1
467,1226,1279,0
468,825,892,1
469,934,1321,1
470,1250,1277,0
471,940,1328,1
472,911,1349,1
473,923,1307,1
474,934,1340,1
475,938,1326,1
476,911,1346,1
477,1227,1281,0
478,1233,1276,0
479,836,898,1
480,906,1335,1
481,923,1321,1
482,1247,1287,0
483,1254,1287,0
484,1258,1277,0
485,944,1321,1
486,913,1320,1
487,834,873,1
488,915,1336,1
489,848,890,1
490,1246,1277,0
491,838,887,1
492,917,1336,1
493,1253,1281,0
494,1241,1268,0
495,846,882,1
496,856,868,1
497,934,1334,1
498,926,1341,1
499,919,1316,1
500,1247,1284,0
501,901,1345,1
502,1231,1267,0
503,1239,1290,0
504,1227,1290,0
505,864,893,1
506,835,894,1
507,919,1339,1
508,1259,1289,0
509,1246,1298,0
510,923,1325,1
511,904,1317,1
512,856,885,1
513,928,1312,1
514,933,1346,1
515,938,1316,1
516,944,1324,1
517,911,1321,1
518,844,882,1
519,847,893,1
520,1248,1295,0
521,946,1301,1
522,843,872,1
523,1238,1286,0
524,837,882,1
525,937,1317,1
526,1262,1293,0
527,838,888,1
528,855,868,1
529,915,1340,1
530,937,1337,1
531,928,1350,1
532,944,1318,1
533,849,891,1
534,831,867,1
535,860,880,1
536,1247,1270,0
537,1233,1282,0
538,940,1305,1
539,943,1309,1
540,1244,1297,0
541,836,895,1
542,857,877,1
543,935,1340,1
544,1251,1276,0
545,837,875,1
546,1253,1270,0
547,945,1332,1
548,825,889,1
549,857,897,1
550,927,1304,1
551,905,1318,1
552,851,893,1
553,946,1320,1
554,916,1328,1
555,1234,1269,0
556,1248,1288,0
557,1231,1297,0
558,854,898,1
559,837,892,1
560,835,872,1
561,848,889,1
562,934,1343,1
563,850,881,1
564,826,871,1
565,841,895,1
566,934,1326,1
567,906,1310,1
568,829,888,1
569,852,870,1
570,857,886,1
571,905,1348,1
572,936,1331,1
573,860,886,1
574,933,1339,1
575,1226,1284,0
576,1236,1273,0
577,1242,1299,0
578,1225,1293,0
579,928,1327,1
580,920,1346,1
581,940,1308,1
582,845,877,1
583,906,1302,1
584,829,897,1
585,923,1326,1
586,850,870,1
587,901,1323,1
588,907,1323,1
589,925,1303,1
590,905,1341,1
591,850,892,1
592,827,898,1
593,828,896,1
594,913,1308,1
595,945,1308,1
596,1242,1276,0
597,944,1304,1
598,860,877,1
599,1251,1271,0
600,1250,1285,0
601,851,873,1
602,827,868,1
603,1245,1295,0
604,914,1327,1
605,922,1304,1
606,1242,1269,0
607,914,1325,1
608,934,1341,1
609,825,872,1
610,944,1302,1
611,918,1315,1
612,905,1308,1
613,854,872,1
614,834,899,1
615,1262,1284,0
616,846,897,1
617,1233,1274,0
618,856,897,1
619,934,1314,1
620,850,882,1
621,937,1303,1
622,827,885,1
623,924,1328,1
624,1225,1289,0
625,1262,1287,0
626,1253,1268,0
627,852,887,1
628,861,883,1
629,1229,1278,0
630,859,876,1
631,1254,1294,0
632,907,1309,1
633,909,1305,1
634,1241,1270,0
635,1261,1298,0
636,1261,1289,0
637,920,1310,1
638,928,1321,1
639,841,871,1
640,903,1302,1
641,935,1328,1
642,1243,1284,0
643,931,1330,1
644,1234,1280,0
645,904,1329,1
646,917,1331,1
647,940,1304,1
648,1226,1288,0
649,901,1310,1
650,933,1310,1
651,826,888,1
652,923,1343,1
653,1238,1294,0
654,839,869,1
655,910,1346,1
656,859,897,1
657,1233,1289,0
658,920,1311,1
659,914,1342,1
660,916,1304,1
661,836,871,1
662,912,1309,1
663,1246,1291,0
664,1250,1296,0
665,904,1342,1
666,922,1330,1
667,1239,1270,0
668,825,869,1
669,912,1336,1
670,864,890,1
671,927,1328,1
672,844,878,1
673,923,1304,1
674,916,1322,1
675,850,887,1
676,938,1317,1
677,1239,1277,0
678,916,1301,1
679,852,868,1
680,927,1316,1
681,927,1302,1
682,939,1324,1
683,836,899,1
684,911,1306,1
685,1226,1275,0
686,938,1323,1
687,860,891,1
688,922,1332,1
689,826,896,1
690,935,1341,1
691,931,1336,1
692,1260,1290,0
693,945,1321,1
694,923,1340,1
695,843,891,1
696,836,873,1
697,849,899,1
698,911,1337,1
699,858,874,1
700,861,887,1
701,925,1310,1
702,863,874,1
703,938,1309,1
704,927,1321,1
705,1230,1288,0
706,929,1328,1
707,1253,1266,0
708,932,1332,1
709,849,876,1
710,938,1320,1
711,844,890,1
712,914,1311,1
713,916,1319,1
714,846,892,1
715,926,1308,1
716,1249,1280,0
717,1264,1287,0
718,921,1323,1
719,939,1340,1
720,1252,1297,0
721,910,1324,1
722,863,895,1
723,1247,1298,0
724,922,1337,1
725,923,1318,1
726,944,1334,1
727,1233,1290,0
728,858,870,1
729,845,884,1
730,910,1325,1
731,836,885,1
732,862,883,1
733,917,1306,1
734,1260,1299,0
735,904,1319,1
736,937,1346,1
737,1243,1287,0
738,906,1315,1
739,925,1304,1
740,929,1329,1
741,909,1309,1
742,911,1309,1
743,845,895,1
744,946,1327,1
745,903,1329,1
746,921,1312,1
747,856,866,1
748,920,1305,1
749,1262,1299,0
750,907,1302,1
751,905,1332,1
752,1226,1295,0
753,944,1342,1
754,908,1306,1
755,1259,1297,0
756,933,1330,1
757,1235,1275,0
758,930,1304,1
759,1258,1296,0
760,922,1309,1
761,838,883,1
762,1246,1284,0
763,851,866,1
764,901,1315,1
765,931,1350,1
766,930,1306,1
767,863,890,1
768,918,1339,1
769,1251,1293,0
770,925,1313,1
771,832,888,1
772,1229,1299,0
773,1237,1284,0
774,859,867,1
775,940,1314,1
776,829,871,1
777,920,1338,1
778,830,878,1
779,1259,1299,0
780,828,892,1
781,937,1305,1
782,929,1349,1
783,909,1332,1
784,935,1304,1
785,1237,1274,0
786,936,1332,1
787,1225,1281,0
788,1245,1291,0
789,836,890,1
790,939,1327,1
791,929,1315,1
792,830,899,1
793,918,1321,1
794,944,1329,1
795,907,1335,1
796,938,1302,1
797,933,1348,1
798,1244,1289,0
799,931,1323,1
800,861,891,1
801,1241,1279,0
802,914,1345,1
803,908,1317,1
804,917,1325,1
805,1226,1290,0
806,860,870,1
807,926,1345,1
808,1234,1270,0
809,835,886,1
810,853,875,1
811,853,890,1
812,864,873,1
813,834,895,1
814,905,1340,1
815,1253,1297,0
816,923,1305,1
817,942,1314,1
818,832,878,1
819,927,1307,1
820,917,1342,1
821,944,1320,1
822,861,893,1
823,902,1346,1
824,1226,1296,0
825,844,883,1
826,911,1324,1
827,905,1337,1
828,831,871,1
829,862,891,1
830,1239,1282,0
831,1263,1294,0
832,940,1325,1
833,830,888,1
834,829,872,1
835,1253,1286,0
836,907,1315,1
837,933,1338,1
838,1242,1286,0
839,925,1321,1
840,835,881,1
841,903,1321,1
842,907,1304,1
843,913,1348,1
844,945,1333,1
845,844,874,1
846,839,894,1
847,1262,1290,0
848,941,1332,1
849,1243,1277,0
850,933,1304,1
851,919,1327,1
852,1227,1299,0
853,1251,1277,0
854,918,1327,1
855,933,1329,1
856,926,1347,1
857,942,1309,1
858,945,1330,1
859,1257,1299,0
860,920,1343,1
861,1253,1299,0
862,1252,1298,0
863,1247,1277,0
864,848,893,1
865,940,1349,1
866,1229,1266,0
867,905,1315,1
868,923,1310,1
869,935,1309,1
870,924,1319,1
871,906,1313,1
872,1231,1292,0
873,903,1346,1
874,830,892,1
875,836,866,1
876,849,895,1
877,1231,1272,0
878,1261,1282,0
879,833,898,1
880,825,880,1
881,918,1334,1
882,827,896,1
883,921,1343,1
884,860,889,1
885,861,881,1
886,1257,1290,0
887,1253,1289,0
888,842,877,1
889,857,898,1
890,839,891,1
891,850,895,1
892,830,871,1
893,1257,1272,0
894,825,897,1
895,1250,1297,0
896,919,1340,1
897,836,881,1
898,921,1349,1
899,922,1327,1
900,936,1339,1
901,860,869,1
902,1259,1282,0
903,863,868,1
904,1260,1292,0
905,944,1350,1
906,845,874,1
907,1251,1278,0
908,1247,1272,0
909,835,888,1
910,838,872,1
911,849,886,1
912,923,1324,1
913,828,894,1
914,921,1344,1
915,835,869,1
916,936,1330,1
917,848,872,1
918,848,874,1
919,943,1349,1
920,923,1315,1
921,924,1343,1
922,830,884,1
923,906,1305,1
924,1243,1270,0
925,836,894,1
926,908,1348,1
927,1236,1275,0
928,841,898,1
929,905,1311,1
930,906,1349,1
931,1234,1296,0
932,863,875,1
933,1258,1284,0
934,858,885,1
935,842,896,1
936,901,1329,1
937,911,1332,1
938,923,1301,1
939,1242,1280,0
940,853,880,1
941,1231,1269,0
942,937,1329,1
943,1244,1296,0
944,912,1317,1
945,854,879,1
946,1225,1287,0
947,910,1315,1
948,846,890,1
949,924,1303,1
950,918,1343,1
951,1235,1280,0
952,921,1341,1
953,902,1325,1
954,1226,1282,0
955,1257,1288,0
956,916,1323,1
957,1234,1287,0
958,829,895,1
959,1260,1298,0
960,906,1301,1
961,929,1332,1
962,837,873,1
963,927,1308,1
964,944,1307,1
965,924,1349,1
966,941,1311,1
967,860,893,1
968,906,1303,1
969,855,895,1
970,906,1336,1
971,905,1338,1
972,926,1348,1
973,941,1346,1
974,1257,1276,0
975,1263,1279,0
976,1250,1279,0
977,827,889,1
978,840,898,1
979,1246,1272,0
980,922,1313,1
981,854,896,1
982,940,1337,1
983,850,877,1
984,905,1344,1
985,839,899,1
986,837,891,1
987,911,1323,1
988,910,1347,1
989,1230,1272,0
990,909,1322,1
991,902,1340,1
992,912,1344,1
993,913,1324,1
994,858,891,1
995,837,870,1
996,1236,1286,0
997,924,1318,1
998,905,1329,1
999,942,1301,1
1000,916,1318,1
1001,1259,1287,0
1002,1230,1269,0
1003,1259,1292,0
1004,913,1323,1
1005,915,1347,1
1006,1247,1269,0
1007,906,1342,1
1008,906,1326,1
1009,1232,1295,0
1010,911,1339,1
1011,1228,1289,0
1012,1248,1287,0
1013,1242,1273,0
1014,1259,1293,0
1015,922,1323,1
1016,1229,1282,0
1017,825,888,1
1018,836,882,1
1019,933,1325,1
1020,1235,1267,0
1021,936,1333,1
1022,912,1322,1
1023,903,1341,1
1024,923,1337,1
1025,1247,1283,0
1026,1245,1274,0
1027,1238,1271,0
1028,1248,1271,0
1029,941,1308,1
1030,911,1341,1
1031,940,1350,1
1032,913,1313,1
1033,903,1335,1
1034,902,1304,1
1035,833,895,1
1036,1256,1293,0
1037,825,876,1
1038,825,875,1
1039,944,1319,1
1040,857,891,1
1041,834,877,1
1042,1264,1270,0
1043,1230,1275,0
1044,918,1304,1
1045,842,883,1
1046,901,1316,1
1047,1249,1295,0
1048,930,1329,1
1049,936,1314,1
1050,924,1306,1
1051,859,877,1
1052,903,1311,1
1053,923,1322,1
1054,864,878,1
1055,927,1341,1
1056,922,1316,1
1057,936,1319,1
1058,841,883,1
1059,1246,1293,0
1060,834,880,1
1061,934,1336,1
1062,942,1321,1
1063,834,887,1
1064,836,884,1
1065,851,891,1
1066,864,877,1
1067,1233,1268,0
1068,845,879,1
1069,916,1330,1
1070,1256,1298,0
1071,925,1350,1
1072,846,876,1
1073,856,894,1
1074,861,868,1
1075,854,887,1
1076,907,1337,1
1077,856,878,1
1078,910,1306,1
1079,923,1347,1
1080,1248,1272,0
1081,836,870,1
1082,944,1312,1
1083,904,1330,1
1084,1253,1284,0
1085,938,1306,1
1086,918,1317,1
1087,834,889,1
1088,915,1308,1
1089,853,896,1
1090,862,898,1
1091,849,890,1
1092,858,888,1
1093,1263,1284,0
1094,916,1325,1
1095,835,867,1
1096,852,874,1
1097,930,1342,1
1098,936,1340,1
1099,828,868,1
1100,914,1339,1
1101,1261,1278,0
1102,911,1307,1
1103,939,1331,1
1104,930,1328,1
1105,838,881,1
1106,918,1322,1
1107,911,1325,1
1108,911,1338,1
1109,919,1332,1
1110,1235,1285,0
1111,1251,1280,0
1112,910,1321,1
1113,909,1328,1
1114,935,1301,1
1115,902,1327,1
1116,1256,1273,0
1117,1235,1279,0
1118,863,869,1
1119,859,888,1
1120,861,882,1
1121,937,1343,1
1122,1238,1275,0
1123,1261,1277,0
1124,856,891,1
1125,946,1308,1
1126,1252,1273,0
1127,1243,1293,0
1128,845,899,1
1129,928,1337,1
1130,846,874,1
1131,906,1343,1
1132,903,1343,1
1133,922,1317,1
1134,827,892,1
1135,908,1309,1
1136,945,1339,1
1137,903,1334,1
1138,1248,1289,0
1139,940,1320,1
1140,825,895,1
1141,919,1330,1
1142,940,1326,1
1143,845,873,1
1144,1254,1299,0
1145,1230,1284,0
1146,825,891,1
1147,918,1341,1
1148,829,883,1
1149,831,884,1
1150,941,1343,1
1151,915,1350,1
1152,942,1322,1
1153,847,895,1
1154,1230,1274,0
1155,922,1328,1
1156,1250,1270,0
1157,834,885,1
1158,927,1336,1
1159,853,872,1
1160,851,876,1
1161,939,1328,1
1162,915,1304,1
1163,929,1336,1
1164,1255,1293,0
1165,860,874,1
1166,1264,1278,0
1167,850,894,1
1168,1238,1266,0
1169,931,1306,1
1170,1246,1267,0
1171,943,1346,1
1172,944,1310,1
1173,920,1302,1
1174,844,892,1
1175,851,870,1
1176,1227,1292,0
1177,911,1342,1
1178,1239,1294,0
1179,862,874,1
1180,851,878,1
1181,935,1311,1
1182,826,884,1
1183,855,866,1
1184,927,1348,1
1185,903,1303,1
1186,905,1312,1
1187,939,1346,1
1188,907,1340,1
1189,1254,1278,0
1190,924,1337,1
1191,905,1328,1
1192,918,1350,1
1193,856,895,1
1194,846,888,1
1195,862,877,1
1196,907,1330,1
1197,1249,1275,0
1198,906,1341,1
1199,839,882,1
1200,928,1325,1
1201,1233,1271,0
1202,915,1322,1
1203,941,1324,1
1204,858,877,1
1205,828,875,1
1206,901,1333,1
1207,1258,1270,0
1208,1227,1298,0
1209,1264,1298,0
1210,901,1306,1
1211,847,877,1
1212,926,1327,1
1213,839,873,1
1214,856,873,1
1215,1239,1269,0
1216,840,891,1
1217,839,884,1
1218,1231,1285,0
1219,938,1322,1
1220,831,892,1
1221,1234,1291,0
1222,913,1344,1
1223,931,1314,1
1224,850,873,1
1225,1245,1278,0
1226,929,1302,1
1227,916,1344,1
1228,1264,1293,0
1229,850,875,1
1230,1263,1268,0
1231,838,870,1
1232,857,873,1
1233,927,1311,1
1234,936,1313,1
1235,846,887,1
1236,935,1334,1
1237,909,1316,1
1238,943,1344,1
1239,835,898,1
1240,1254,1297,0
1241,848,887,1
1242,942,1345,1
1243,926,1321,1
1244,828,897,1
1245,1246,1296,0
1246,933,1315,1
1247,936,1321,1
1248,906,1311,1
1249,914,1337,1
1250,937,1313,1
1251,839,888,1
1252,916,1334,1
1253,1264,1280,0
1254,918,1335,1
1255,930,1350,1
1256,925,1347,1
1257,835,866,1
1258,1236,1282,0
1259,913,1345,1
1260,942,1343,1
1261,1261,1285,0
1262,917,1318,1
1263,830,897,1
1264,852,896,1
1265,937,1326,1
1266,1230,1299,0
1267,844,873,1
1268,907,1320,1
1269,910,1312,1
1270,852,881,1
1271,1256,1296,0
1272,844,870,1
1273,1251,1267,0
1274,1234,1276,0
1275,825,877,1
1276,1261,1267,0
1277,1263,1291,0
1278,941,1306,1
1279,917,1307,1
1280,1250,1294,0
1281,1228,1299,0
1282,912,1306,1
1283,1252,1284,0
1284,847,887,1
1285,1231,1289,0
1286,856,881,1
1287,1245,1288,0
1288,859,895,1
1289,848,879,1
1290,828,884,1
1291,830,877,1
1292,836,883,1
1293,1232,1280,0
1294,1253,1276,0
1295,1250,1289,0
1296,914,1301,1
1297,932,1304,1
1298,903,1319,1
1299,1229,1271,0
1300,836,892,1
1301,1260,1277,0
1302,1261,1276,0
1303,945,1329,1
1304,830,898,1
1305,842,892,1
1306,941,1336,1
1307,923,1345,1
1308,938,1339,1
1309,1240,1273,0
1310,945,1306,1
1311,841,877,1
1312,832,894,1
1313,847,869,1
1314,909,1347,1
1315,858,897,1
1316,939,1301,1
1317,838,885,1
1318,917,1328,1
1319,937,1322,1
1320,856,872,1
1321,928,1315,1
1322,832,895,1
1323,1231,1295,0
1324,829,899,1
1325,854,875,1
1326,936,1344,1
1327,932,1335,1
1328,862,884,1
1329,853,881,1
1330,1256,1291,0
1331,1226,1274,0
1332,937,1347,1
1333,861,889,1
1334,1239,1281,0
1335,843,889,1
1336,931,1344,1
1337,826,873,1
1338,1236,1277,0
1339,838,898,1
1340,934,1305,1
1341,1264,1267,0
1342,860,883,1
1343,1245,1276,0
1344,836,877,1
1345,930,1324,1
1346,847,891,1
1347,938,1343,1
1348,1251,1273,0
1349,836,879,1
1350,920,1319,1
1351,904,1335,1
1352,845,897,1
1353,944,1305,1
1354,852,875,1
1355,911,1329,1
1356,925,1328,1
1357,901,1321,1
1358,1248,1280,0
1359,855,885,1
1360,926,1309,1
1361,925,1331,1
1362,1249,1287,0
1363,864,891,1
1364,1247,1274,0
1365,913,1347,1
1366,859,886,1
1367,858,868,1
1368,1228,1268,0
1369,1254,1280,0
1370,845,875,1
1371,908,1330,1
1372,851,883,1
1373,1264,1299,0
1374,835,882,1
1375,1225,1292,0
1376,825,893,1
1377,1262,1291,0
1378,924,1346,1
1379,1250,1288,0
1380,917,1338,1
1381,1257,1298,0
1382,1262,1292,0
1383,1263,1296,0
1384,942,1323,1
1385,848,867,1
1386,863,896,1
1387,901,1336,1
1388,920,1301,1
1389,1251,1275,0
1390,942,1342,1
1391,838,893,1
1392,1245,1293,0
1393,1249,1292,0
1394,1242,1290,0
1395,1231,1286,0
1396,928,1306,1
1397,1242,1281,0
1398,861,897,1
1399,910,1322,1
1400,842,882,1
1401,1256,1276,0
1402,901,1344,1
1403,834,893,1
1404,829,886,1
1405,1245,1296,0
1406,945,1345,1
1407,846,869,1
1408,1231,1279,0
1409,943,1339,1
1410,1251,1269,0
1411,1227,1267,0
1412,911,1347,1
1413,1257,1286,0
1414,928,1332,1
1415,906,1316,1
1416,909,1341,1
1417,1251,1290,0
1418,831,887,1
1419,931,1337,1
1420,845,896,1
1421,922,1331,1
1422,838,876,1
1423,918,1312,1
1424,833,886,1
1425,933,1342,1
1426,835,874,1
1427,1234,1297,0
1428,914,1309,1
1429,1260,1270,0
1430,904,1336,1
1431,835,871,1
1432,864,874,1
1433,864,884,1
1434,850,896,1
1435,848,892,1
1436,1241,1290,0
1437,1233,1273,0
1438,834,894,1
1439,863,889,1
1440,1229,1270,0
1441,943,1334,1
1442,845,878,1
1443,915,1343,1
1444,926,1330,1
1445,838,875,1
1446,1261,1275,0
1447,1232,1271,0
1448,942,1319,1
1449,926,1306,1
1450,1233,1275,0
1451,939,1343,1
1452,933,1331,1
1453,903,1324,1
1454,857,868,1
1455,1255,1287,0
1456,931,1321,1
1457,938,1349,1
1458,909,1339,1
1459,832,875,1
1460,1245,1268,0
1461,920,1327,1
1462,1226,1285,0
1463,928,1340,1
1464,845,871,1
1465,826,886,1
1466,903,1326,1
1467,1230,1266,0
1468,927,1350,1
1469,922,1325,1
1470,903,1301,1
1471,915,1342,1
1472,904,1303,1
1473,1226,1292,0
1474,1245,1292,0
1475,1255,1294,0
1476,853,887,1
1477,912,1301,1
1478,941,1316,1
1479,862,871,1
1480,1227,1294,0
1481,1229,1279,0
1482,942,1328,1
1483,853,885,1
1484,848,868,1
1485,1248,1274,0
1486,1227,1287,0
1487,1249,1271,0
1488,932,1348,1
1489,940,1347,1
1490,1232,1270,0
1491,936,1311,1
1492,1256,1268,0
1493,1257,1268,0
1494,929,1324,1
1495,918,1301,1
1496,937,1350,1
1497,938,1321,1
1498,1259,1280,0
1499,1242,1282,0
